state,value,rank
Andaman and Nicobar,0.00,30
Andhra Pradesh,3703.25,9
Arunachal Pradesh,11.67,25
Assam,2442.57,12
Bihar,3730.57,8
Chhattisgarh,1212.91,17
Dadra and Nagar Haveli,0.00,30
Delhi,183.23,23
Goa,69.31,24
Gujarat,5258.49,4
Haryana,1710.49,16
Himachal Pradesh,296.26,21
Jammu and Kashmir,298.19,20
Jharkhand,2394.46,13
Karnataka,3281.36,10
Kerala,1045.36,18
Madhya Pradesh,5000.00,5
Maharashtra,5745.48,3
Manipur,1.35,29
Meghalaya,8.76,27
Mizoram,1.50,28
Nagaland,11.13,26
Orissa,2572.16,11
Punjab,2269.27,14
Rajasthan,5893.10,2
Sikkim,0.00,30
Tamil Nadu,4027.08,7
Telangana,1736.67,15
Tripura,192.54,22
Uttaranchal,339.80,19
Uttar Pradesh,9077.45,1
West Bengal,4135.19,6
