lat,lon,name,size
64.686314,97.745306,Russia,86000
39.78373,-100.445882,USA,250000
35.000074,104.999927,China,121000
22.351115,78.667743,India,65808
61.066692,-107.991707,Canada,46552
51.08342,10.423447,Germany,43468
-24.776109,134.755,Australia,38445
-35.112487,-65.241974,Argentina,36966
-28.816624,24.991639,South Africa,31000
46.603354,1.888334,France,29640
-10.333333,-53.2,Brazil,29303
36.574844,139.239418,Japan,27182
42.638426,12.674297,Italy,24179
49.487197,31.271832,Ukraine,22300
45.985213,24.685923,Romania,22298
52.097718,19.025816,Poland,19627
54.702355,-3.276575,United Kingdom,17732
19.43253,-99.13321,Mexico,17116
40.002803,-4.003104,Spain,15947
47.228609,65.20932,Kazakhstan,15732
32.94075,52.947134,Iran,12998
59.674971,14.520858,Sweden,12821
38.959759,34.924965,Turkey,12000
49.8167,15.474954,Czech Republic,9487
-4.799336,114.563203,Indonesia,8529
47.181759,19.506094,Hungary,7942
30.33084,71.247499,Pakistan,7791
26.254049,29.267547,Egypt,6700
63.246778,25.920916,Finland,5919
-31.761336,-71.31877,Chile,5898
47.200034,13.199959,Austria,5927
53.425061,27.697136,Belarus,5537
14.584444,29.491769,Sudan,5478
35.398501,127.937111,South Korea,5242
40.312396,127.399971,North Korea,5235
46.798562,8.231974,Switzerland,5232
23.013134,-80.832875,Cuba,5076
39.376381,59.392461,Turkmenistan,4980
28.000027,2.999983,Algeria,4175
41.32373,63.95281,Uzbekistan,4280
42.607398,25.485662,Bulgaria,4159
-41.500083,172.834408,New Zealand,4128
60.500021,9.099972,Norway,4114
14.897192,100.83273,Thailand,4071
-2.981434,23.822264,Democratic Republic of the Congo,4007
17.17505,95.999965,Myanmar,3955
44.153412,20.55144,Serbia,3809
48.741152,19.452865,Slovakia,3658
9.600036,7.999972,Nigeria,3528
52.865196,-7.97946,Ireland,3237
50.640735,4.66696,Belgium,3233
13.290403,108.426511,Vietnam,3147
-19.302233,34.914498,Mozambique,3116
52.237989,5.534607,Netherlands,3013
-18.455496,29.746841,Zimbabwe,3000
-32.875555,-56.020152,Uruguay,2993
45.564344,17.011895,Croatia,2974
40.163667,47.820743,Azerbaijan,2918
-17.05687,-64.991229,Bolivia,2866
24.476878,90.293243,Bangladesh,2835
39.430125,-8.560792,Portugal,2794
1.441968,38.431398,Kenya,2778
-11.877577,17.569124,Angola,2761
-6.524712,35.787844,Tanzania,2722
55.670249,10.333328,Denmark,2667
39.000041,21.999957,Greece,2552
-23.23355,17.323111,Namibia,2382
56.86669,24.599972,Latvia,2269
33.843941,9.400138,Tunisia,2218
34.640186,39.049411,Syria,2139
33.095579,44.174978,Iraq,2032
-6.86997,-75.045851,Peru,2020
31.172819,-7.336604,Morocco,1989
2.392376,112.847194,Malaysia,1849
46.825039,103.849974,Mongolia,1810
55.35,23.75,Lithuania,1766
23.973937,120.982018,Taiwan,1703
2.893078,-73.784507,Colombia,1663
41.680971,44.028738,Georgia,1513
7.878,80.703825,Sri Lanka,1508
25.624262,42.352833,Saudi Arabia,1412
-14.518624,27.559916,Zambia,1237
30.876027,35.00152,Israel,1200
45.813311,14.480837,Slovenia,1228
47.286747,28.511024,Moldova,1156
44.309241,17.585967,Bosnia and Herzegovina,1103
4.612552,13.153581,Cameroon,974
-1.339767,-79.366696,Ecuador,966
8.030028,-1.080027,Ghana,953
14.475061,-14.452961,Senegal,906
-23.168178,24.592874,Botswana,888
15.635609,-89.898809,Guatemala,885
-18.92496,46.441642,Madagascar,854
40.769627,44.673665,Armenia,869
10.722623,-10.708359,Guinea,837
58.752378,25.331908,Estonia,816
-0.899969,11.68997,Gabon,810
-13.26872,33.930196,Malawi,797
-0.726433,15.641916,Republic of the Congo,795
11.856775,42.757785,Djibouti,92
9.529347,2.258441,Benin,758
16.370036,-2.290024,Mali,733
20.254038,-9.239926,Mauritania,728
15.061069,-84.597853,Honduras,699
41.617121,21.716839,Macedonia,699
10.21167,38.65212,Ethiopia,659
13.506639,104.869423,Cambodia,650
7.989737,-5.567946,Côte d'Ivoire,639
12.075308,-1.688031,Burkina Faso,622
38.628173,70.815654,Tajikistan,616
-18.12397,179.012274,Fiji,597
8.780027,1.019977,Togo,568
13.800038,-88.914068,El Salvador,562
19.094175,-70.30127,Dominican Republic,517
5.749972,-9.365852,Liberia,490
12.750349,122.73121,Philippines,479
41.000028,19.999962,Albania,423
41.508932,74.724091,Kyrgyzstan,417
33.875063,35.843409,Lebanon,401
8.309607,-81.306625,Panama,355
8.001871,-66.110932,Venezuela,336
15.950032,37.999967,Eritrea,306
-26.562481,31.399132,Swaziland,301
10.273563,-84.07391,Costa Rica,278
49.815868,6.129675,Luxembourg,274
24.000249,53.999483,United Arab Emirates,264
18.185051,-77.394769,Jamaica,65
1.533355,32.216658,Uganda,1244
31.166705,36.941628,Jordan,507
43.028556,19.291739,Montenegro,250
39.78373,-100.445882,Hong Kong,210
1.290453,103.852038,Singapore,160.6
4.84171,-58.641689,Guyana,127.2
4.141303,-56.077119,Suriname,166
18.201781,-66.584125,Puerto Rico,17.2
8.640035,-11.840027,Sierra Leone,84
33.000087,64.999847,Afghanistan,75
28.108318,84.091679,Nepal,59
17.346228,-62.768728,Saint Kitts and Nevis,58
-23.316593,-58.169344,Paraguay,38
4.413716,114.565391,Brunei,13
47.141631,9.553153,Liechtenstein,9.5
-0.524962,166.933301,Nauru,3.9
24.179732,-13.766785,Western Sahara,5
20.017111,103.378253,Laos,3.5
43.731197,7.41964,Monaco,1.7
-29.603927,28.335019,Lesotho,1.6
39.78373,-100.445882,Vatican City,1.27
